account_id,account_name,tenant_id,health_score,health_segment,revenue,neediness_score,segment,account_level,industry,tad_score,tech_count,neediness_category
001Pg00001Cgn29IAB,gatsby_153,4424072045,75,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000YShGAIA1,groutmedic4705,4042496307,63,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg00001729sIIAQ,ajdplumbingnashville,4341201173,40,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg000014Z8pZIAS,groovyhues_124,4307443726,73,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00001OgTXBIA3,rubbishworks8790,4563743918,76,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000fjb5RIAQ,prolift5305,4135656556,63,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg00001MWRWBIA5,asvpradowender,4542983385,67,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000ojxZPAAY,empiresewerwaterinc,1014728102,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg00000WwMAfIAN,mcbrideconstructionresourcesincdbaallsoundplumbing,4091684536,24,Red,100000,8,Residential,Corporate,Roofing,0,5,High
001Pg000014GYKhIAO,varsityzone_115,4306734674,68,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg000002SBVLIA4,signatureroofing,4235181589,62,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg000019KiDhIAK,maidright5805,4372583021,60,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000fpvKzIAI,housedoctors7705,4136923738,73,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000SRZKwIAP,groutmedicmariettaga,3963390342,79,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000WVU9vAAH,allamericanplumbingheating,558801111,93,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000Sdoo8IAB,groutmediceugeneor,3985690645,64,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg00000g6CuTIAU,gatsby_142,4140600837,75,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001E4rlXQAR,1stchoiceheatingairrefrigeration,1389617704,82,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000fjVkoIAE,housedoctors4405,4136223920,80,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00001Ba6kxIAB,mhmbendixmike,4368695078,66,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
